symbol, date, time, open, high, low, close, volumn, 
SPKE,2017-06-14,00:00:00,43.65,44.58,43.30,44.20,51999
SPKE,2017-06-13,00:00:00,44.50,44.60,43.30,43.65,56845
SPKE,2017-06-12,00:00:00,42.05,45.00,42.05,44.25,114716
SPKE,2017-06-09,00:00:00,42.05,42.45,41.70,42.05,70549
SPKE,2017-06-08,00:00:00,42.45,42.90,42.00,42.45,56153
SPKE,2017-06-07,00:00:00,41.65,43.25,41.60,42.85,53029
SPKE,2017-06-06,00:00:00,42.80,44.40,41.75,42.05,110158
SPKE,2017-06-05,00:00:00,44.60,44.85,43.30,43.30,70543
SPKE,2017-06-02,00:00:00,44.10,46.05,44.10,44.55,60070
SPKE,2017-06-01,00:00:00,43.30,45.20,43.30,44.75,93949
SPKE,2017-05-31,00:00:00,44.05,44.75,43.00,43.85,141658
SPKE,2017-05-30,00:00:00,43.20,44.75,43.05,44.20,91249
SPKE,2017-05-26,00:00:00,43.60,45.60,43.60,43.80,172526
SPKE,2017-05-25,00:00:00,41.20,43.95,41.00,43.35,168976
SPKE,2017-05-24,00:00:00,40.50,41.05,39.90,40.00,78244
SPKE,2017-05-23,00:00:00,41.35,41.70,40.30,40.50,159040
SPKE,2017-05-22,00:00:00,38.50,41.00,38.20,41.00,214150
SPKE,2017-05-19,00:00:00,38.40,38.58,38.00,38.25,127466
SPKE,2017-05-18,00:00:00,36.95,38.15,36.55,38.05,131447
SPKE,2017-05-17,00:00:00,36.25,37.00,35.62,36.85,153128
SPKE,2017-05-16,00:00:00,35.00,36.45,34.95,36.35,108112
SPKE,2017-05-15,00:00:00,34.80,35.17,34.35,35.00,106105
SPKE,2017-05-12,00:00:00,34.75,34.75,34.05,34.65,90585
SPKE,2017-05-11,00:00:00,33.85,34.70,33.40,34.50,110882
SPKE,2017-05-10,00:00:00,32.35,33.95,32.00,33.90,87337
SPKE,2017-05-09,00:00:00,33.40,33.50,32.15,32.35,102334
SPKE,2017-05-08,00:00:00,31.65,33.15,28.35,33.05,218861
SPKE,2017-05-05,00:00:00,31.60,32.80,31.50,31.50,136047
SPKE,2017-05-04,00:00:00,32.70,33.00,31.30,32.85,108104
SPKE,2017-05-03,00:00:00,34.05,34.43,32.90,32.95,99966
SPKE,2017-05-02,00:00:00,35.20,35.40,34.00,34.30,104911
SPKE,2017-05-01,00:00:00,35.60,35.60,35.15,35.30,86505
SPKE,2017-04-28,00:00:00,35.90,36.05,35.55,35.90,100453
SPKE,2017-04-27,00:00:00,36.10,36.20,35.40,35.65,84768
SPKE,2017-04-26,00:00:00,36.05,36.20,35.90,36.05,64252
