symbol, date, time, open, high, low, close, volumn, 
581,2017-01-20,00:00:00,110.15,110.35,109.95,109.95,324157
581,2017-01-19,00:00:00,112.75,112.75,110.00,110.00,38392
581,2017-01-18,00:00:00,118.70,120.20,117.15,119.80,157285
581,2017-01-17,00:00:00,119.00,119.25,118.05,119.00,128737
581,2017-01-13,00:00:00,118.25,119.10,117.65,119.10,124275
581,2017-01-12,00:00:00,118.35,118.65,117.75,118.30,59419
581,2017-01-11,00:00:00,118.00,119.05,118.00,119.05,115665
581,2017-01-10,00:00:00,117.40,119.05,117.35,118.35,54524
581,2017-01-09,00:00:00,118.10,118.55,116.85,118.00,30069
581,2017-01-06,00:00:00,117.40,118.25,117.40,118.00,34267
581,2017-01-05,00:00:00,117.70,118.05,116.90,117.25,21648
581,2017-01-04,00:00:00,116.50,118.40,116.50,117.95,74794
581,2017-01-03,00:00:00,116.55,117.10,116.15,116.90,33104
581,2016-12-30,00:00:00,116.60,117.25,115.85,116.10,21175
581,2016-12-29,00:00:00,116.90,117.45,116.40,117.05,56371
581,2016-12-28,00:00:00,118.45,118.60,117.25,117.30,15756
581,2016-12-27,00:00:00,118.55,118.55,117.50,118.00,53383
581,2016-12-23,00:00:00,118.45,118.45,117.50,118.40,23975
581,2016-12-22,00:00:00,118.90,118.90,117.65,118.10,37684
581,2016-12-21,00:00:00,119.05,119.20,118.52,118.65,26370
581,2016-12-20,00:00:00,120.01,120.01,118.60,118.90,19065
581,2016-12-19,00:00:00,119.65,119.95,119.30,119.55,22219
581,2016-12-16,00:00:00,119.60,120.35,119.38,119.85,36575
581,2016-12-15,00:00:00,112.15,119.85,112.15,118.95,27379
581,2016-12-14,00:00:00,118.75,119.50,118.35,118.70,12007
581,2016-12-13,00:00:00,119.65,119.65,118.55,118.55,26976
581,2016-12-12,00:00:00,118.55,119.95,118.55,119.55,23516
581,2016-12-09,00:00:00,118.60,118.90,118.25,118.70,22834
581,2016-12-08,00:00:00,117.55,118.75,117.55,118.55,32852
581,2016-12-07,00:00:00,117.50,118.05,117.20,117.35,16010
581,2016-12-06,00:00:00,115.80,117.70,115.80,117.35,11733
581,2016-12-05,00:00:00,116.55,116.95,116.00,116.30,15240
581,2016-12-02,00:00:00,116.00,116.95,115.65,116.55,15916
581,2016-12-01,00:00:00,117.75,117.80,114.05,116.15,18163
581,2016-11-30,00:00:00,117.75,118.55,115.35,117.85,53920
581,2016-11-29,00:00:00,113.70,118.10,113.70,117.85,77147
581,2016-11-28,00:00:00,113.75,114.10,112.75,113.10,13192
581,2016-11-25,00:00:00,113.50,114.45,112.55,113.60,14775
581,2016-11-23,00:00:00,113.05,114.60,113.05,113.30,21035
581,2016-11-22,00:00:00,113.40,113.65,112.98,113.65,17210
581,2016-11-21,00:00:00,113.25,114.00,112.85,113.60,14506
581,2016-11-18,00:00:00,112.70,113.35,112.65,112.85,24539
581,2016-11-17,00:00:00,113.55,113.85,113.05,113.05,14082
581,2016-11-16,00:00:00,112.70,113.40,112.35,113.00,24333
581,2016-11-15,00:00:00,112.45,112.80,111.25,112.70,27861
581,2016-11-14,00:00:00,112.45,114.87,111.25,111.95,32808
581,2016-11-11,00:00:00,110.85,111.95,110.60,111.70,33200
581,2016-11-10,00:00:00,113.65,113.75,110.35,110.40,44163
581,2016-11-09,00:00:00,110.55,113.45,110.55,113.10,28800
581,2016-11-08,00:00:00,109.90,111.50,109.75,111.40,52546
581,2016-11-07,00:00:00,109.95,110.25,109.50,109.95,62793
581,2016-11-04,00:00:00,108.95,109.65,108.80,108.85,20690
581,2016-11-03,00:00:00,108.55,109.60,108.55,109.20,56460
581,2016-11-02,00:00:00,109.70,110.10,108.40,108.85,54166
581,2016-11-01,00:00:00,109.55,109.75,109.20,109.50,14540
581,2016-10-31,00:00:00,108.80,110.25,108.80,109.55,104066
581,2016-10-28,00:00:00,108.40,109.80,108.40,109.10,29873
581,2016-10-27,00:00:00,109.05,109.70,108.85,109.15,58516
581,2016-10-26,00:00:00,110.60,110.80,109.10,109.20,37968
581,2016-10-25,00:00:00,112.45,112.55,111.25,111.40,15351
581,2016-10-24,00:00:00,111.65,113.05,111.40,112.60,48874
